Date,SP500
3/8/2018 16:00,2732.75
3/9/2018 16:00,2752.91
3/12/2018 16:00,2790.54
3/13/2018 16:00,2792.31
3/14/2018 16:00,2774.06
3/15/2018 16:00,2754.27
3/16/2018 16:00,2750.57
3/19/2018 16:00,2741.38
3/20/2018 16:00,2715.05
3/21/2018 16:00,2714.99
3/22/2018 16:00,2691.36
3/23/2018 16:00,2646.71
3/26/2018 16:00,2619.35
3/27/2018 16:00,2667.57
3/28/2018 16:00,2611.3
3/29/2018 16:00,2614.41
4/2/2018 16:00,2633.45
4/3/2018 16:00,2592.17
4/4/2018 16:00,2584.04
4/5/2018 16:00,2657.36
4/6/2018 16:00,2645.82
4/9/2018 16:00,2617.18
4/10/2018 16:00,2638.41
4/11/2018 16:00,2643.89
4/12/2018 16:00,2653.83
4/13/2018 16:00,2676.9
4/16/2018 16:00,2670.1
4/17/2018 16:00,2692.74
4/18/2018 16:00,2710.11
4/19/2018 16:00,2701.16
4/20/2018 16:00,2692.56
4/23/2018 16:00,2675.4
4/24/2018 16:00,2680.8
4/25/2018 16:00,2634.92
4/26/2018 16:00,2651.65
4/27/2018 16:00,2675.47
4/30/2018 16:00,2675.05
5/1/2018 16:00,2643.64
5/2/2018 16:00,2654.24
5/3/2018 16:00,2628.08
5/4/2018 16:00,2621.45
5/7/2018 16:00,2669.36
5/8/2018 16:00,2670.26
5/9/2018 16:00,2678.12
5/10/2018 16:00,2705.02
5/11/2018 16:00,2722.7
5/14/2018 16:00,2733.37
5/15/2018 16:00,2718.59
5/16/2018 16:00,2712.62
5/17/2018 16:00,2719.71
5/18/2018 16:00,2717.35
5/21/2018 16:00,2725.95
5/22/2018 16:00,2738.34
5/23/2018 16:00,2713.98
5/24/2018 16:00,2730.94
5/25/2018 16:00,2723.6
5/29/2018 16:00,2705.11
5/30/2018 16:00,2702.43
5/31/2018 16:00,2720.98
6/1/2018 16:00,2718.7
6/4/2018 16:00,2741.67
6/5/2018 16:00,2748.46
